(1177581266.9+0j),(-588783264.88+1019802090.97j)
(-331379.790599+3991667.98131j),(-3291160.68857-2282740.12785j)
(-638974.19722+3820553.01721j),(-2989235.97408-2463585.97509j)
(-1043929.91454+4129543.54456j),(-3054227.53776-2968815.71603j)
(-831389.414397+3839420.2606j),(-2909406.11279-2639688.3355j)
(-635027.333888+3450476.31626j),(-2670718.29209-2275220.38602j)
(-659437.546132+3438688.18351j),(-2648256.13536-2290507.8835j)
(-460739.397158+3575466.63379j),(-2866091.27666-2186776.91464j)
(-552545.772682+3673553.02624j),(-2905190.07645-2315428.80993j)
(-630886.476226+3562217.14511j),(-2769604.57452-2327446.93908j)
(-771803.230233+3674843.26856j),(-2796520.62537-2505889.67617j)
(-526051.579787+3588677.33169j),(-2844778.60863-2249958.04858j)
(-540062.828152+3444060.97304j),(-2712561.36231-2189657.62278j)
(-677148.070367+3682859.94475j),(-2850965.16916-2427854.03741j)
(-532311.867607+3506359.13341j),(-2770399.77847-2214213.77494j)
(-689685.249966+3351234.81278j),(-2557403.12541-2272985.23473j)
(-535351.114301+3423524.3325j),(-2697200.8212-2175393.79388j)
(-479565.966918+3329546.54956j),(-2643587.10537-2080131.7323j)
(-506513.138407+3337466.12995j),(-2637050.25036-2107428.48756j)
(-535377.955178+3220523.47194j),(-2521354.11581-2073933.17765j)
(-667768.431153+3160913.84068j),(-2403442.34345-2158753.40515j)
(-346690.304706+3024688.52685j),(-2446092.34511-1812489.44402j)
(-738501.037701+3229333.73685j),(-2427466.57184-2254362.26422j)
(-564001.725568+3450236.75176j),(-2706002.23502-2213576.34884j)
(-828854.887486+2901186.40637j),(-2098058.44831-2168425.82244j)
(-679940.012434+3063866.29976j),(-2313402.30858-2120822.09819j)
(-439559.237979+2860337.88697j),(-2257330.03833-1810868.35564j)
(-559835.042324+3027093.2659j),(-2341735.3932-1998347.73173j)
(-462695.172275+3001606.37216j),(-2368181.80625-1901492.58925j)
(-674793.919679+3142882.96726j),(-2384403.03385-2155815.79153j)
(-381920.890743+3048690.71221j),(-2449356.32167-1855126.3449j)
(-743403.652541+2764396.39345j),(-2022345.0381-2026014.19074j)
(-631178.430999+2952504.13044j),(-2241378.94365-2022824.23263j)
(-532165.553888+2840191.16953j),(-2193615.01907-1880988.61628j)
(-728487.002677+2709709.65203j),(-1982418.7201-1985782.06773j)
(-452384.967176+2570998.501j),(-2000305.38542-1677233.47973j)
(-482781.164637+2702282.60302j),(-2098925.23309-1769227.96623j)
(-447845.404625+2890137.9465j),(-2278945.63324-1832998.88355j)
(-576340.735554+2756800.18273j),(-2099330.48764-1877569.65165j)
(-617609.586657+2952016.0797j),(-2247732.33753-2010912.42948j)
(-518653.973385+2628278.84298j),(-2016834.54227-1763314.40757j)
(-624197.840881+2675663.5791j),(-2005090.40528-1878420.97161j)
(-415670.382717+2603199.54975j),(-2046676.91849-1661590.64379j)
(-624597.729037+2598716.32435j),(-1938281.03489-1840226.17371j)
(-548525.846422+2767029.99384j),(-2122016.1254-1858495.11558j)
(-638043.495399+2576951.43657j),(-1912783.74615-1841014.00435j)
(-554175.013679+2438040.96704j),(-1834278.12899-1698926.97208j)
(-731521.700759+2499425.75983j),(-1798770.17845-1883190.66259j)
(-700543.527268+2569436.36591j),(-1874866.95236-1891397.29225j)
(-597044.521275+2437366.76095j),(-1812245.26827-1735685.63192j)
(-685351.495503+2485295.33067j),(-1809670.10027-1836138.29043j)
(-776087.560594+2609018.24502j),(-1871409.65178-1976670.37225j)
(-558452.084302+2455678.1314j),(-1847529.09836-1711449.95413j)
(-765917.757101+2279895.66404j),(-1591487.06581-1803244.10466j)
(-612086.409634+2543071.00116j),(-1896329.97479-1801610.05564j)
(-535502.225696+2408245.11961j),(-1817855.48246-1667854.88992j)
(-579601.822511+2461850.9321j),(-1842257.53758-1732857.9549j)
(-636589.845605+2402056.58689j),(-1761906.85397-1752341.87401j)
(-626676.040857+2539947.40581j),(-1886294.00996-1812657.33132j)
(-557959.929143+2372051.68184j),(-1775334.55485-1669212.73169j)
(-834866.814551+2337346.78051j),(-1606740.37528-1891696.61411j)
(-694857.605506+2417687.14993j),(-1746361.0011-1810630.01479j)
(-657043.231974+2196717.69288j),(-1573901.1557-1667359.71111j)
(-552870.700079+2417230.77861j),(-1816924.85907-1687412.72484j)
(-425719.915819+2477461.22457j),(-1932647.3523-1607369.47641j)
(-568209.083823+2379446.25592j),(-1776528.63639-1681827.96955j)
(-551010.344615+2306875.77361j),(-1722254.08286-1630584.46553j)
(-701380.272982+2206272.11441j),(-1559987.08429-1710563.08654j)
(-467838.060414+2455906.76668j),(-1892936.88139-1633073.26326j)
(-482687.536462+2121367.87811j),(-1595817.61781-1478682.29169j)
(-510318.916331+2340264.70143j),(-1771588.00633-1612137.84614j)
(-451928.852277+2069112.39982j),(-1565917.46698-1425976.36111j)
(-688365.128104+2038321.60338j),(-1421022.46015-1615235.6188j)
(-456334.679271+2136906.80073j),(-1622456.07089-1463631.57818j)
(-603135.264908+2188946.57123j),(-1594096.62488-1616876.8789j)
(-483991.428656+2285541.77375j),(-1737369.28988-1561918.1762j)
(-705189.548749+2003031.66774j),(-1382072.94445-1612184.45433j)
(-574212.506679+2093355.78305j),(-1525795.43987-1543949.04909j)
(-537523.324764+1903838.19503j),(-1379991.87895-1417446.58146j)
(-695828.81637+2124358.33442j),(-1491875.38654-1664724.4971j)
(-530036.780346+2089288.68448j),(-1544367.61135-1503650.3401j)
(-568701.156389+1883880.5755j),(-1347148.60357-1434467.37361j)
(-641221.7053+1941508.02932j),(-1360781.97666-1526110.21768j)
(-551735.826536+1886196.72412j),(-1357599.78218-1420857.95423j)
(-491386.450312+2059445.43459j),(-1537856.77008-1455299.50443j)
(-626227.845221+1973412.61083j),(-1395899.08643-1529027.86705j)
(-784746.001809+2030795.96989j),(-1366312.29186-1694998.23922j)
(-632177.425223+1978121.64097j),(-1397025.39577-1536523.07169j)
(-657814.38944+1934917.95608j),(-1346805.09928-1537122.47899j)
(-609864.435756+2035748.925j),(-1458078.2043-1546007.54978j)
(-602369.855365+1888689.53851j),(-1334428.88728-1465976.94684j)
(-608627.351665+1878089.28671j),(-1322154.13033-1466155.38528j)
(-603865.450978+1939898.72352j),(-1378052.76366-1492864.23294j)
(-556558.284422+2030772.81428j),(-1480416.49441-1497415.4819j)
(-603698.850513+1988003.88341j),(-1419770.81089-1516857.09469j)
(-554830.857079+1955786.20413j),(-1416341.58013-1458380.35763j)
(-716199.501588+1836368.8884j),(-1232267.31526-1538411.23j)
(-658304.920774+1787482.16003j),(-1218885.57842-1463775.26499j)
(-722948.072656+1824055.04518j),(-1218234.85304-1538122.40982j)
(-571848.715455+1985025.27576j),(-1433107.54132-1487726.97401j)
(-507069.440256+1830402.40168j),(-1331577.31296-1354328.50545j)
(-659809.33336+1867233.78883j),(-1287174.25919-1504967.86781j)
(-576246.765762+1807070.7942j),(-1276861.10112-1402588.47549j)
(-720437.926937+1814498.02987j),(-1211096.67258-1531199.43909j)
(-542103.284971+1833311.22421j),(-1316654.90485-1386162.27478j)
(-606482.000947+1819869.82982j),(-1272821.55485-1435148.67674j)
(-541251.800262+1756900.73738j),(-1250875.48393-1347144.62636j)
(-614191.819745+1635145.24106j),(-1108951.26786-1349490.93221j)
(-672571.291518+1757366.81221j),(-1185686.52203-1461201.94406j)
(-443833.877289+1748980.72366j),(-1292748.66359-1258832.78388j)
(-605443.710811+1647831.06125j),(-1124317.30001-1348286.36334j)
(-496844.237536+1794690.72195j),(-1305791.83113-1327650.79564j)
(-630335.648462+1707299.0091j),(-1163403.34783-1399515.49364j)
(-720188.534074+1858682.95233j),(-1249547.4917-1553023.464j)
(-632574.505511+1695368.1669j),(-1151914.49879-1395463.30258j)
(-588430.990297+1761768.59943j),(-1231537.59777-1390458.28885j)
(-441509.305047+1687403.63007j),(-1240597.01615-1226057.50518j)
(-743831.204856+1676697.23119j),(-1080117.57675-1482584.81871j)
(-480477.504577+1714281.57163j),(-1244346.81389-1273224.67364j)
(-632667.204572+1629081.34071j),(-1094469.47147-1362443.09164j)
(-497526.098558+1788114.23379j),(-1299791.67069-1324966.06722j)
(-478917.141636+1609318.75803j),(-1154269.22539-1219429.6953j)
(-634461.172256+1598034.71424j),(-1066696.8383-1348435.09297j)
(-668592.01134+1590812.37689j),(-1043378.95636-1374436.35848j)
(-605505.276648+1627826.31002j),(-1107018.90536-1338308.37576j)
(-437937.930016+1502641.26473j),(-1082397.91265-1130587.63214j)
(-549744.341466+1520675.76621j),(-1042050.90071-1236438.31713j)
(-607260.527934+1666988.40844j),(-1140027.36681-1359474.92372j)
(-550346.962946+1536819.94596j),(-1055763.89876-1245009.72894j)
(-571786.627477+1485325.05822j),(-1000433.2628-1237830.52782j)
(-515321.65277+1667433.76j),(-1186413.54571-1280006.23196j)
(-537787.503221+1555177.53024j),(-1077944.05386-1243289.19519j)
(-663884.867319+1480368.11288j),(-950099.416337-1315079.7775j)
(-766619.098367+1465100.84162j),(-885487.911738-1396451.24601j)
(-620152.88122+1486407.23903j),(-977201.876016-1280279.6224j)
(-499372.185958+1433219.69422j),(-991477.435415-1149032.59759j)
(-619052.242907+1412930.24833j),(-914082.618076-1242601.61702j)
(-661841.673514+1538990.90148j),(-1001873.88641-1342705.2912j)
(-699860.317631+1469020.72358j),(-922249.885705-1340606.81672j)
(-716675.878772+1516497.56397j),(-954966.556496-1378903.56215j)
(-519762.039567+1620903.86494j),(-1143844.84481-1260581.19894j)
(-572791.075737+1454577.45424j),(-973325.02191-1223344.23185j)
(-702623.747781+1496155.54j),(-944369.359362-1356525.77974j)
(-701170.320089+1416516.89762j),(-876164.528226-1315495.55187j)
(-629768.796207+1548251.69761j),(-1025942.38932-1319532.01639j)
(-511888.500883+1429912.40317j),(-982408.810727-1158305.46062j)
(-589432.415744+1545913.20679j),(-1044053.41329-1283425.81581j)
(-514563.316175+1488867.0102j),(-1032109.4913-1190082.99661j)
(-742021.389782+1349890.33992j),(-798015.656356-1317541.52009j)
(-666732.258642+1572298.88072j),(-1028305.62357-1363560.08482j)
(-589503.853701+1482257.86782j),(-988932.105395-1251699.09589j)
(-593522.561329+1484768.25397j),(-989060.128697-1256398.06678j)
(-587851.255873+1379004.73542j),(-900304.433212-1198602.57549j)
(-644388.14084+1431666.8935j),(-917719.647436-1273900.79479j)
(-511022.784+1451423.41557j),(-1001510.66891-1168315.64371j)
(-598170.009394+1386944.50091j),(-902056.951526-1211519.02234j)
(-478488.40636+1514846.22037j),(-1072632.31328-1171838.84607j)
(-484145.468071+1280718.9094j),(-867104.583012-1059648.35194j)
(-662659.054935+1374227.21978j),(-858798.819286-1261021.24227j)
(-543532.56183+1331378.37675j),(-881220.229493-1136398.43444j)
(-542319.314512+1355242.63686j),(-902561.49971-1147285.63843j)
(-509126.136465+1342535.1734j),(-908132.021397-1112188.40763j)
(-673142.740178+1255378.21673j),(-750639.824959-1210645.57235j)
(-532128.519288+1339276.04439j),(-893783.01539-1130482.81276j)
(-582424.785629+1269007.53881j),(-807827.290265-1138897.74568j)
(-598554.565591+1404286.04919j),(-916860.698363-1220458.3647j)
(-490444.667903+1304797.63903j),(-884754.194711-1077098.30541j)
(-565481.594101+1287921.83181j),(-832653.978335-1133672.30633j)
(-651177.831601+1352582.4883j),(-845772.800434-1240198.3119j)
(-651668.733363+1349271.23582j),(-842659.59086-1238964.97912j)
(-664942.314293+1279335.52663j),(-775441.49899-1215536.69326j)
(-554944.039661+1204673.63631j),(-765845.003438-1082933.68705j)
(-571780.666821+1248208.36139j),(-795110.756712-1119275.36505j)
(-628281.485271+1235457.00294j),(-755798.18088-1161853.35884j)
(-721797.375976+1277486.09471j),(-745431.259455-1263829.4291j)
(-690076.321404+1405287.92153j),(-871974.183613-1300240.42038j)
(-547081.501164+1229477.95037j),(-791244.616534-1088517.52711j)
(-631308.663874+1213424.25682j),(-735207.336433-1153459.93936j)
(-623374.873319+1223565.87317j),(-747956.367754-1151649.52759j)
(-662428.013091+1261101.99672j),(-760922.172562-1204208.93427j)
(-608409.31273+1236273.14721j),(-766458.348015-1145019.6117j)
(-542189.10944+1251245.25558j),(-812528.016109-1095158.00373j)
(-556306.647276+1267710.58879j),(-819703.814765-1115657.84308j)
(-488085.002039+1243548.23951j),(-832895.583661-1044477.08978j)
(-688118.1527+1233123.77891j),(-723882.136602-1212504.81298j)
(-630780.198782+1289328.3055j),(-801183.479664-1190925.69489j)
(-620381.696306+1174233.37923j),(-706709.552797-1124368.11303j)
(-594729.733198+1263218.39536j),(-796648.206462-1146645.99933j)
(-565360.289185+1193575.14757j),(-750976.542363-1086399.41894j)
(-758722.86835+1247299.82657j),(-700794.440554-1280720.84698j)
(-588983.522828+1157261.37789j),(-707736.320405-1088701.67413j)
(-651521.194363+1155061.91223j),(-674550.586298-1141761.52814j)
(-456797.55334+1185861.62881j),(-798545.973397-988530.512456j)
(-627592.637567+1166514.05913j),(-696432.809246-1126799.33523j)
(-598776.538135+1241981.19686j),(-776231.276049-1139495.87137j)
(-610400.983394+1126393.61398j),(-670252.411226-1091825.21108j)
(-660332.918104+1187833.65452j),(-698527.171248-1165802.89588j)
(-516557.096061+1154413.15933j),(-741503.886017-1024574.77336j)
(-644265.456117+1140425.64068j),(-665523.631713-1128096.35064j)
(-646108.433117+1168215.8187j),(-688617.740319-1143639.3789j)
(-645963.473535+1129806.37635j),(-655472.163613-1124323.34275j)
(-527347.818305+1177167.95124j),(-755811.495005-1045257.04179j)
(-513185.592416+1207350.73561j),(-789005.504068-1048119.61066j)
(-668331.387172+1266056.08815j),(-762262.640222-1211807.80672j)
(-572619.879134+1193529.22646j),(-747295.222681-1092682.42184j)
(-693873.070559+1098633.00028j),(-604520.461246-1150215.83164j)
(-585207.529139+1167665.03096j),(-718601.95847-1090657.85756j)
(-585506.355952+1085678.67595j),(-647487.850445-1049858.76099j)
(-492155.126812+1094414.78744j),(-701710.966117-973437.609051j)
(-509411.319519+1091975.48183j),(-691002.94681-987172.740879j)
(-598260.652423+1128516.93654j),(-678212.343053-1082374.3702j)
(-550078.350174+1071446.50488j),(-652841.790197-1012121.30169j)
(-583334.518668+1064683.98119j),(-630354.972142-1037527.52379j)
(-572128.649999+1084018.74668j),(-652716.661829-1037498.84371j)
(-588099.575017+1101192.15652j),(-659607.959177-1059879.11441j)
(-598798.689299+1037834.25125j),(-599351.936288-1037491.57975j)
(-545293.755067+1093937.91994j),(-674748.636369-1019169.96604j)
(-572757.256855+1025075.68227j),(-601345.996549-1008552.82333j)
(-623953.476915+1089544.44687j),(-631571.815584-1085105.36287j)
(-583154.616463+996149.079934j),(-571127.77133-1003103.86238j)
(-610417.070894+1046030.35171j),(-600655.34133-1051665.56525j)
(-584929.637715+1028114.21611j),(-597872.312966-1020605.15456j)
(-642493.902571+1053060.36008j),(-590738.54914-1082945.6981j)
(-557112.043534+1059952.01912j),(-639384.888602-1012448.85912j)
(-657254.865807+936840.600313j),(-482646.714934-1037612.06766j)
(-697705.3441+1045109.97883j),(-556203.25046-1126800.03798j)
(-641203.146935+1003312.20691j),(-548300.27527-1056976.66299j)
(-670273.371056+996437.61512j),(-527830.962823-1078695.73598j)
(-556306.113173+1048530.25169j),(-629919.415656-1006041.93668j)
(-567259.733171+1053695.61668j),(-628903.513267-1018118.06992j)
(-592351.565746+1121609.28968j),(-675204.74385-1073808.9283j)
(-681937.130713+981227.518257j),(-508806.420278-1081180.0734j)
(-709597.722346+1080831.51215j),(-581187.781857-1154923.22021j)
(-578617.113125+989829.799218j),(-567923.265825-995985.45851j)
(-638497.290898+1047167.37295j),(-587651.247714-1076581.41125j)
(-489453.494906+1030647.40251j),(-647803.871329-939208.565566j)
(-633946.578701+943221.751226j),(-499859.614662-1020599.67374j)
(-570071.948731+1070782.39237j),(-642327.189477-1029094.45941j)
(-609489.678896+997087.041971j),(-558752.316313-1026421.1462j)
(-556844.44837+1109292.86213j),(-682233.299105-1036905.01127j)
(-571391.971563+1030596.80093j),(-606832.43964-1010153.12357j)
(-634603.208456+1027458.72263j),(-572512.380761-1063326.70187j)
(-541135.509978+915713.6513j),(-522460.807298-926488.112752j)
(-564684.740047+932140.1426j),(-524894.779416-955104.160489j)
(-532710.398008+1053237.84723j),(-645776.502997-987939.129891j)
(-525193.02733+982637.205755j),(-588407.286772-946156.452138j)
(-567501.577266+954669.927348j),(-543017.134479-968783.553175j)
(-592142.656734+932387.672j),(-511399.83977-978993.79059j)
(-603922.713152+923263.446944j),(-497618.067702-984622.327996j)
(-560922.604225+939099.27287j),(-532797.312336-955350.077147j)
(-617248.002807+915856.12759j),(-484523.44153-992458.737134j)
(-604970.731684+1029300.34786j),(-588920.921304-1038561.13863j)
(-617240.21088+899251.089952j),(-470127.880615-984166.80924j)
(-621314.18074+891862.292839j),(-461719.321579-983969.394667j)
(-556899.225779+952639.854134j),(-546599.052611-958597.436035j)
(-569337.717236+963775.563264j),(-550002.692188-974929.766737j)
(-608294.788467+872164.984884j),(-451170.190544-962896.77743j)
(-574931.558854+894954.938312j),(-487597.529259-945377.881591j)
(-578161.420893+941264.426582j),(-526035.700661-971345.121191j)
(-578870.674659+986263.794949j),(-564706.547372-994435.21039j)
(-630438.12756+904392.062321j),(-468017.997632-998168.123901j)
(-661502.783179+871842.385733j),(-424275.646022-1008791.26993j)
(-604631.674426+796892.878676j),(-387800.509742-922091.687067j)
(-652148.628659+894450.643436j),(-448540.234445-1012011.55994j)
(-526066.989145+883978.556756j),(-502532.900203-897540.852724j)
(-633486.094643+946587.670512j),(-503015.885799-1021915.71811j)
(-549059.82074+975971.048646j),(-570677.178195-963506.191313j)
(-625774.934642+872750.887489j),(-442920.873479-978292.685169j)
(-647477.786199+891551.073751j),(-448348.835124-1006507.62851j)
(-622646.757682+865030.93285j),(-437786.787553-971764.162389j)
(-582118.6814+926461.701408j),(-511262.484433-967355.425255j)
(-510074.430633+855127.900336j),(-485531.13954-869288.155032j)
(-663394.926896+856222.531955j),(-409796.447928-1002629.53074j)
(-593055.810483+891358.838635j),(-475415.430315-959275.470741j)
(-601712.458232+856826.915363j),(-441179.848674-949510.185914j)
(-650044.286757+897340.562999j),(-452086.45583-1011659.31126j)
(-589333.090067+851872.267168j),(-443077.539615-936311.382684j)
(-632169.370775+857584.325484j),(-426580.797006-976263.193496j)
(-557948.258997+833696.736547j),(-442995.475564-900068.036993j)
(-708163.084608+851634.269972j),(-383459.186283-1039107.28698j)
(-562325.972676+915316.7724j),(-511535.201036-944634.493451j)
(-604920.77208+819200.992644j),(-407000.197906-933461.787081j)
(-609235.274942+891736.88852j),(-467659.571505-973522.092214j)
(-605247.530751+798363.283337j),(-388808.189484-923343.698981j)
(-631562.653609+830763.515196j),(-403703.099906-962320.710109j)
(-551715.359878+863852.867537j),(-472283.589133-909718.257954j)
(-625474.474656+922588.396717j),(-486241.354879-1002978.98789j)
(-589028.570414+860647.085257j),(-450810.963511-940433.947921j)
(-661630.818928+833502.770673j),(-391053.886185-989734.765132j)
(-636415.514003+845910.373557j),(-414362.493833-974100.493804j)
(-588863.786679+819662.412405j),(-415417.907566-919798.453128j)
(-564556.684147+843245.594601j),(-447975.217881-910556.124707j)
(-520894.468369+887538.203107j),(-508171.782271-894888.06167j)
(-570535.26525+810784.257192j),(-416890.367987-899481.514794j)
(-597652.600612+818271.612016j),(-409842.455141-926728.635561j)
(-579838.188799+850780.129497j),(-446884.453658-927556.660043j)
(-579555.274416+849084.456877j),(-445560.706002-926453.092407j)
(-612045.707019+806318.069017j),(-392279.819113-933222.999896j)
(-607281.61905+728367.687529j),(-327154.37062-890082.752217j)
(-538002.210038+754128.192694j),(-384088.158778-842980.249116j)
(-562900.231288+755940.763391j),(-373199.604262-865434.227273j)
(-621437.773508+813557.75614j),(-393839.003569-944929.38838j)
(-589219.121042+871132.577831j),(-459846.930613-945837.00354j)
(-628974.223108+748663.72868j),(-333856.496628-919043.313111j)
(-635055.839494+756874.098141j),(-337913.428929-928402.928095j)
(-591070.849802+701387.418238j),(-311886.611925-862580.359565j)
(-590285.712654+798526.856505j),(-396392.163635-910491.090018j)
(-558361.052827+739520.938377j),(-361273.086545-853324.91796j)
(-665805.652116+757564.38267j),(-323149.128939-955397.204388j)
(-577600.16318+739058.659414j),(-351249.246201-869764.655424j)
(-634589.171326+714598.109639j),(-301573.068328-906853.227946j)
(-586094.109591+807483.76024j),(-406278.149301-911315.976661j)
(-609707.249457+711222.672748j),(-311088.345872-883641.508575j)
(-646454.194122+800290.666534j),(-369858.117518-960015.806839j)
(-604196.115732+730253.293019j),(-330334.758988-888376.779291j)
(-671321.156494+778693.1183j),(-338684.864336-970728.171143j)
(-655301.856259+804079.11301j),(-368726.198663-969542.919041j)
(-671605.078728+766536.152115j),(-328054.067744-964893.679347j)
(-582000.598884+760865.518802j),(-367947.916269-884452.256132j)
(-571715.213091+667606.679516j),(-292325.230658-828909.803857j)
(-636113.959361+815969.34762j),(-388617.176251-958849.083291j)
(-550855.714827+790902.381174j),(-409509.258676-872496.405084j)
(-624327.94731+800794.055106j),(-381347.489138-941103.560538j)
(-573966.784434+802249.893057j),(-407807.531081-898207.95988j)
(-651654.36716+708804.612503j),(-288025.799628-918727.377965j)
(-580066.700122+732755.531776j),(-344559.548179-868740.297798j)
(-593894.31756+684333.091764j),(-295715.643622-856506.14576j)
(-599253.221167+827160.763917j),(-416754.311892-932529.493045j)
(-546118.869617+759323.423243j),(-384534.816363-852578.436134j)
